timestamp,open,high,low,close,volume
2025-01-02 09:30:00-05:00,5900.0,5905.68,5900.0,5901.92,842
2025-01-02 09:35:00-05:00,5901.78,5901.78,5893.64,5895.36,563
2025-01-02 09:40:00-05:00,5895.23,5901.83,5895.23,5900.1,525
2025-01-02 09:45:00-05:00,5900.0,5908.26,5900.0,5906.04,625
2025-01-02 09:50:00-05:00,5905.8,5905.8,5891.69,5893.72,569
2025-01-02 09:55:00-05:00,5894.04,5894.04,5884.44,5885.52,1141
2025-01-02 10:00:00-05:00,5886.46,5893.7,5883.56,5886.32,530
2025-01-02 10:05:00-05:00,5884.77,5887.3,5882.38,5884.33,608
2025-01-02 10:10:00-05:00,5883.01,5887.32,5881.33,5884.22,753
2025-01-02 10:15:00-05:00,5882.02,5882.02,5875.12,5878.86,559
2025-01-02 10:20:00-05:00,5879.95,5888.75,5879.95,5884.39,859
2025-01-02 10:25:00-05:00,5884.7,5893.73,5884.7,5889.29,541
2025-01-02 10:30:00-05:00,5889.92,5890.25,5886.63,5889.7,562
2025-01-02 10:35:00-05:00,5887.9,5899.11,5887.9,5896.81,945
2025-01-02 10:40:00-05:00,5899.06,5900.95,5897.31,5899.76,904
2025-01-02 10:45:00-05:00,5898.99,5898.99,5888.79,5894.34,958
2025-01-02 10:50:00-05:00,5894.55,5897.68,5893.94,5896.67,594
2025-01-02 10:55:00-05:00,5897.74,5897.74,5890.06,5890.62,840
2025-01-02 11:00:00-05:00,5889.37,5901.14,5889.37,5896.16,813
2025-01-02 11:05:00-05:00,5895.47,5899.21,5894.65,5895.84,507
2025-01-02 11:10:00-05:00,5896.07,5896.07,5891.57,5894.68,561
2025-01-02 11:15:00-05:00,5898.28,5898.28,5885.66,5890.38,710
2025-01-02 11:20:00-05:00,5890.77,5902.08,5890.77,5898.09,655
2025-01-02 11:25:00-05:00,5900.12,5901.6,5895.34,5897.12,701
2025-01-02 11:30:00-05:00,5898.64,5898.64,5892.24,5894.42,746
2025-01-02 11:35:00-05:00,5894.88,5896.48,5887.89,5892.2,797
2025-01-02 11:40:00-05:00,5890.95,5897.16,5890.95,5895.55,588
2025-01-02 11:45:00-05:00,5896.89,5898.48,5895.58,5897.86,558
2025-01-02 11:50:00-05:00,5895.97,5901.15,5895.97,5900.46,660
2025-01-02 11:55:00-05:00,5902.49,5904.4,5898.88,5903.18,502
2025-01-02 12:00:00-05:00,5903.44,5917.64,5903.44,5916.73,595
2025-01-02 12:05:00-05:00,5913.37,5914.95,5911.55,5914.15,704
2025-01-02 12:10:00-05:00,5913.72,5913.72,5910.64,5910.91,1017
2025-01-02 12:15:00-05:00,5911.74,5911.74,5902.04,5905.77,644
2025-01-02 12:20:00-05:00,5905.47,5911.81,5905.47,5909.66,889
2025-01-02 12:25:00-05:00,5910.57,5918.49,5910.57,5916.81,547
2025-01-02 12:30:00-05:00,5915.73,5925.31,5911.96,5916.08,701
2025-01-02 12:35:00-05:00,5914.43,5916.39,5910.12,5910.77,683
2025-01-02 12:40:00-05:00,5910.68,5910.68,5902.32,5905.56,786
2025-01-02 12:45:00-05:00,5905.6,5912.07,5905.6,5909.67,710
2025-01-02 12:50:00-05:00,5909.23,5916.2,5909.23,5914.37,768
2025-01-02 12:55:00-05:00,5915.93,5917.96,5914.13,5917.81,961
2025-01-02 13:00:00-05:00,5916.73,5916.73,5912.63,5913.6,564
2025-01-02 13:05:00-05:00,5913.99,5918.79,5911.57,5915.07,508
2025-01-02 13:10:00-05:00,5915.15,5916.41,5914.45,5915.8,630
2025-01-02 13:15:00-05:00,5913.83,5920.77,5913.83,5917.19,586
2025-01-02 13:20:00-05:00,5915.52,5930.14,5915.52,5922.71,927
2025-01-02 13:25:00-05:00,5922.72,5929.17,5922.72,5924.13,751
2025-01-02 13:30:00-05:00,5926.64,5929.62,5925.19,5928.43,735
2025-01-02 13:35:00-05:00,5929.16,5932.28,5927.12,5928.86,902
2025-01-02 13:40:00-05:00,5926.67,5934.56,5926.67,5930.69,656
2025-01-02 13:45:00-05:00,5926.74,5937.34,5926.74,5934.7,1030
2025-01-02 13:50:00-05:00,5935.63,5935.63,5923.22,5925.45,612
2025-01-02 13:55:00-05:00,5925.33,5925.33,5920.18,5923.43,531
2025-01-02 14:00:00-05:00,5924.87,5924.87,5917.23,5920.45,665
2025-01-02 14:05:00-05:00,5919.33,5919.84,5914.93,5916.4,535
2025-01-02 14:10:00-05:00,5916.85,5920.25,5910.49,5914.66,943
2025-01-02 14:15:00-05:00,5915.73,5927.22,5915.73,5924.13,671
2025-01-02 14:20:00-05:00,5923.56,5923.56,5911.57,5918.64,580
2025-01-02 14:25:00-05:00,5918.1,5925.42,5918.1,5924.78,514
2025-01-02 14:30:00-05:00,5924.81,5924.81,5909.61,5914.12,597
